Pathway	Genes of pathway	Enzymes of pathway	Accession
L-arginine biosynthesis I (via L-ornithine)	argG // argH // argF // arcB // carA // carB // argA // argJ // argB // PP_3633 // argC // astC // aruC // argE // PP_3571	argininosuccinate synthase // argininosuccinate lyase // ornithine carbamoyltransferase // ornithine carbamoyltransferase // carbamoyl-phosphate synthase // amino acid N-acetyltransferase // glutamate N-acetyltransferase/amino acid acetyltransferase // acetylglutamate kinase // ArgC-like N-acetyl-gamma-glutamyl-phosphate reductase // N-acetyl-gamma-glutamyl-phosphate reductase // acetylornithine aminotransferase // acetylornithine aminotransferase // acetylornithine deacetylase // acetylornithine deacetylase	PP_1088 // PP_0184 // PP_1079 // PP_1000 // PP_4724 // PP_4723 // PP_5185 // PP_1346 // PP_5289 // PP_3633 // PP_0432 // PP_4481 // PP_0372 // PP_5186 // PP_3571
L-arginine biosynthesis II (acetyl cycle)	argG // argH // argF // arcB // astC // aruC // PP_3633 // argC // argB // carA // carB // argA // argJ	argininosuccinate synthase // argininosuccinate lyase // ornithine carbamoyltransferase // ornithine carbamoyltransferase // acetylornithine aminotransferase // acetylornithine aminotransferase // ArgC-like N-acetyl-gamma-glutamyl-phosphate reductase // N-acetyl-gamma-glutamyl-phosphate reductase // acetylglutamate kinase // carbamoyl-phosphate synthase // amino acid N-acetyltransferase // glutamate N-acetyltransferase/amino acid acetyltransferase	PP_1088 // PP_0184 // PP_1079 // PP_1000 // PP_4481 // PP_0372 // PP_3633 // PP_0432 // PP_5289 // PP_4724 // PP_4723 // PP_5185 // PP_1346
L-arginine degradation I (arginase pathway)	PP_4523 // aruC // putA	agmatinase // acetylornithine aminotransferase // proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase	PP_4523 // PP_0372 // PP_4947
L-arginine degradation II (AST pathway)	astA-II // astA-I // astB // astC // astD // astE	arginine <i>N</i>-succinyltransferase // N-succinylarginine dihydrolase // acetylornithine aminotransferase // N-succinylglutamate 5-semialdehyde dehydrogenase // succinylglutamate desuccinylase	PP_4480 // PP_4479 // PP_4477 // PP_4481 // PP_4478 // PP_4475
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	speA // speB // PP_4523	biosynthetic arginine decarboxylase // agmatinase // agmatinase	PP_0567 // PP_2196 // PP_4523
L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	speA // aguA	biosynthetic arginine decarboxylase // agmatine deiminase	PP_0567 // PP_0266
L-arginine degradation IX (arginine:pyruvate transaminase pathway)	kauB // patD // aruI // aruH	4-guanidinobutyraldehyde dehydrogenase // medium chain aldehyde dehydrogenase // 2-ketoarginine decarboxylase AruI // arginine--pyruvate transaminase AruH	PP_5278 // PP_1481 // PP_3723 // PP_3721
L-arginine degradation V (arginine deiminase pathway)	argF // arcB // carA // carB // arcC // arcA	ornithine carbamoyltransferase // ornithine carbamoyltransferase // carbamoyl-phosphate synthase // carbamate kinase // arginine deiminase	PP_1079 // PP_1000 // PP_4724 // PP_4723 // PP_0999 // PP_1001
L-arginine degradation VI (arginase 2 pathway)	proI // proC // aruC // PP_4523	pyrroline-5-carboxylate reductase // pyrroline-5-carboxylate reductase // acetylornithine aminotransferase // agmatinase	PP_5095 // PP_3778 // PP_0372 // PP_4523
L-arginine degradation VII (arginase 3 pathway)	ocd // PP_3533 // PP_3190 // PP_4523	ornithine cyclodeaminase // ornithine cyclodeaminase // ornithine cyclodeaminase/mu-crystallin family protein // agmatinase	PP_4431 // PP_3533 // PP_3190 // PP_4523
L-asparagine biosynthesis I	asnB	asparagine synthetase	PP_1750
L-asparagine biosynthesis III (tRNA-dependent)	gltB // gltD // carA // carB // guaA // asnB // pyrG // hisF // hisH // ansB // gatC // gatB // gatA // PP_t63 // PP_t07	L-glutamate synthase // carbamoyl-phosphate synthase // glutamine-hydrolyzing GMP synthase // asparagine synthetase // CTP synthase // imidazole glycerol phosphate synthase // glutaminase-asparaginase // aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase	PP_5076 // PP_5075 // PP_4724 // PP_4723 // PP_1032 // PP_1750 // PP_1610 // PP_0293 // PP_0290 // PP_2453 // PP_0932 // PP_0930 // PP_0931 // PP_t63 // PP_t07
L-asparagine degradation I	ansB // ansA // PP_1160	glutaminase-asparaginase // type 1 L-asparaginase // asparaginase family protein	PP_2453 // PP_0495 // PP_1160
L-aspartate biosynthesis	aspC // tyrB // PP_4692	aminotransferase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase	PP_3786 // PP_1972 // PP_4692
L-aspartate degradation I	aspC // tyrB // PP_4692	aminotransferase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase	PP_3786 // PP_1972 // PP_4692
L-carnitine degradation II	lcdH	L-carnitine dehydrogenase	PP_0302
L-citrulline biosynthesis	gltB // gltD // carA // carB // guaA // asnB // pyrG // hisF // hisH // gatC // gatB // gatA // ansB // PP_4523 // aruC // argF // arcB // proB // proA // putA	L-glutamate synthase // carbamoyl-phosphate synthase // glutamine-hydrolyzing GMP synthase // asparagine synthetase // CTP synthase // imidazole glycerol phosphate synthase // aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase // glutaminase-asparaginase // agmatinase // acetylornithine aminotransferase // ornithine carbamoyltransferase // ornithine carbamoyltransferase // glutamate 5-kinase // gamma-glutamyl phosphate reductase // proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase	PP_5076 // PP_5075 // PP_4724 // PP_4723 // PP_1032 // PP_1750 // PP_1610 // PP_0293 // PP_0290 // PP_0932 // PP_0930 // PP_0931 // PP_2453 // PP_4523 // PP_0372 // PP_1079 // PP_1000 // PP_0691 // PP_4811 // PP_4947
L-citrulline degradation	argF // arcB // carA // carB // arcC	ornithine carbamoyltransferase // ornithine carbamoyltransferase // carbamoyl-phosphate synthase // carbamate kinase	PP_1079 // PP_1000 // PP_4724 // PP_4723 // PP_0999
L-cysteine biosynthesis I	PP_1110 // cysE // PP_0385 // PP_0228 // cysK // cysM	serine acetyltransferase // serine acetyltransferase // serine acetyltransferase // serine acetyltransferase // cysteine synthase A // cysteine synthase B	PP_1110 // PP_0840 // PP_0385 // PP_0228 // PP_4571 // PP_1654
L-cysteine degradation II	cysK	cysteine synthase A	PP_4571
L-glutamate biosynthesis I	gltB // gltD	L-glutamate synthase	PP_5076 // PP_5075
L-glutamate biosynthesis III	gltB // gltD // gdhA	L-glutamate synthase // NADP-dependent glutamate dehydrogenase	PP_5076 // PP_5075 // PP_0675
L-glutamate degradation I	gdhB	NAD-specific glutamate dehydrogenase	PP_2080
L-glutamate degradation II	aspC // tyrB // PP_4692 // aspA	aminotransferase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase // aspartate ammonia-lyase	PP_3786 // PP_1972 // PP_4692 // PP_5338
L-glutamine biosynthesis I	glnA // PP_4547 // PP_4399 // PP_3148	glutamine synthetase // glutamine synthetase // glutamine synthetase // glutamine synthetase	PP_5046 // PP_4547 // PP_4399 // PP_3148
L-glutamine degradation I	gltB // gltD // carA // carB // guaA // asnB // pyrG // hisF // hisH // gatC // gatB // gatA // ansB	L-glutamate synthase // carbamoyl-phosphate synthase // glutamine-hydrolyzing GMP synthase // asparagine synthetase // CTP synthase // imidazole glycerol phosphate synthase // aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase // glutaminase-asparaginase	PP_5076 // PP_5075 // PP_4724 // PP_4723 // PP_1032 // PP_1750 // PP_1610 // PP_0293 // PP_0290 // PP_0932 // PP_0930 // PP_0931 // PP_2453
L-glutamine degradation II	gltB // gltD	L-glutamate synthase	PP_5076 // PP_5075
L-histidine biosynthesis	hisD // hisC // hisB // hisF // hisH // hisA // hisE // hisI // hisZ // hisG	histidinol dehydrogenase // histidinol-phosphate aminotransferase // imidazoleglycerol-phosphate dehydratase // imidazole glycerol phosphate synthase // phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase // phosphoribosyl-ATP pyrophosphatase // phosphoribosyl-AMP cyclohydrolase // ATP phosphoribosyltransferase	PP_0966 // PP_0967 // PP_0289 // PP_0293 // PP_0290 // PP_0292 // PP_5015 // PP_5014 // PP_4890 // PP_0965
L-histidine degradation II	hutH // hutU // hutI // hutF // hutG	histidine ammonia-lyase // urocanate hydratase // imidazolonepropionase // formiminoglutamate deiminase // N-formylglutamate deformylase	PP_5032 // PP_5033 // PP_5030 // PP_5036 // PP_5029
L-homocysteine biosynthesis	PP_2528 // metX	O-acetylhomoserine (thiol)-lyase // homoserine O-acetyltransferase	PP_2528 // PP_5097
L-homoserine biosynthesis	lysC // asd1 // asd2 // hom // PP_0664	aspartokinase // aspartate-semialdehyde dehydrogenase // homoserine dehydrogenase // homoserine dehydrogenase	PP_4473 // PP_1989 // PP_1992 // PP_1470 // PP_0664
lipid A-core biosynthesis (E. coli K-12)	waaF // waaG // waaP // waaC	ADP-heptose:LPS heptosyltransferase II // lipopolysaccharide glucosyltransferase I // lipopolysaccharide core heptose (I) kinase // ADP-heptose--LPS heptosyltransferase	PP_0341 // PP_0343 // PP_0344 // PP_0342
lipid IVA biosynthesis (P. putida)	lpxK // lpxB // lpxH // lpxD // lpxC // lpxA	tetraacyldisaccharide 4'-kinase // lipid-A-disaccharide synthase // UDP-2,3-diacylglucosamine hydrolase // UDP-3-O-acylglucosamine N-acyltransferase // UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase // acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase	PP_1900 // PP_1604 // PP_2902 // PP_1601 // PP_1343 // PP_1603
lipoate biosynthesis and incorporation I	lipA // lipB	lipoyl synthase // octanoyltransferase	PP_4800 // PP_4801
lipoprotein posttranslational modification	lgt // lnt // lspA // rseP	prolipoprotein diacylglyceryl transferase // apolipoprotein N-acyltransferase // lipoprotein signal peptidase // RseP protease	PP_5142 // PP_4790 // PP_0604 // PP_1598
L-isoleucine biosynthesis I (from threonine)	ilvD // ilvE // ilvC // ilvI // ilvH // PP_3365 // PP_1394 // PP_1157 // ilvA-II // PP_4430 // ilvA-I // PP_3191	dihydroxy-acid dehydratase // branched-chain-amino acid aminotransferase // ketol-acid reductoisomerase // acetolactate synthase // acetolactate synthase // acetolactate synthase large subunit // acetolactate synthase // threonine deaminase // threonine dehydratase // threonine deaminase // threonine ammonia-lyase/dehydratase	PP_5128 // PP_3511 // PP_4678 // PP_4680 // PP_4679 // PP_3365 // PP_1394 // PP_1157 // PP_5149 // PP_4430 // PP_3446 // PP_3191
L-isoleucine degradation I	ilvE // yqeF // bktB // PP_2215 // acd	"branched-chain-amino acid aminotransferase // acetyl-CoA acetyltransferase // &beta;-ketothiolase BktB // acetyl-CoA acetyltransferase // short-chain acyl-CoA dehydrogenase"	PP_3511 // PP_4636 // PP_3754 // PP_2215 // PP_2216
L-leucine biosynthesis	leuB // ilvE // leuA // leuD // leuC	3-isopropylmalate dehydrogenase // branched-chain-amino acid aminotransferase // 2-isopropylmalate synthase // 3-isopropylmalate dehydratase	PP_1988 // PP_3511 // PP_1025 // PP_1986 // PP_1985
L-leucine degradation I	ilvE // mccA // mccB // liuC // mvaB // PP_3394 // ivd	branched-chain-amino acid aminotransferase // methylcrotonyl-CoA carboxylase biotin-containing // methylglutaconyl-CoA hydratase // hydroxymethylglutaryl-CoA lyase // 3-hydroxy-3-methylglutaryl-CoA lyase // isovaleryl-CoA dehydrogenase	PP_3511 // PP_4067 // PP_4065 // PP_4066 // PP_3540 // PP_3394 // PP_4064
L-leucine degradation IV (Stickland reaction)	ilvE // PP_4635	branched-chain-amino acid aminotransferase // trans-2-enoyl-CoA reductase	PP_3511 // PP_4635
L-lysine biosynthesis I	dapF // PP_3790 // lysA-II // lysA-I // dapE // dapC // dapD // PP_2036 // dapA-I // dapA-II // asd1 // asd2 // lysC // dapB	diaminopimelate epimerase // diaminopimelate epimerase // diaminopimelate decarboxylase // diaminopimelate decarboxylase // succinyl-diaminopimelate desuccinylase // N-succinyl-L,L-diaminopimelate aminotransferase // 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase // 4-hydroxy-tetrahydrodipicolinate synthase // 4-hydroxy-tetrahydrodipicolinate synthase // 4-hydroxy-tetrahydrodipicolinate synthase // aspartate-semialdehyde dehydrogenase // aspartokinase // 4-hydroxy-tetrahydrodipicolinate reductase	PP_5228 // PP_3790 // PP_5227 // PP_2077 // PP_1525 // PP_1588 // PP_1530 // PP_2036 // PP_1237 // PP_2639 // PP_1989 // PP_1992 // PP_4473 // PP_4725
L-lysine degradation IV	davB // davA // davD // davT // gcdG	lysine 2-monooxygenase // 5-aminopentanamidase // glutarate-semialdehyde dehydrogenase // 5-aminovalerate aminotransferase DavT // succinyl-CoA-glutarate CoA-transferase	PP_0383 // PP_0382 // PP_0213 // PP_0214 // PP_0159
L-lysine degradation V	alr // amaD // dpkA // amaA // amaB // PP_4108 // PP_4197 // ydcJ // ydiJ	amino acid racemase // D-lysine oxidase // Delta1-piperideine-2-carboxylate reductase // pipecolate oxidase // <small>L</small>-aminoadipate-semialdehyde dehydrogenase // 4-aminobutyrate aminotransferase // GntR family transcriptional regulator // 2-oxoadipate dioxygenase/decarboxylase // (<i>R</i>)-2-hydroxyglutarate dehydrogenase	PP_3722 // PP_3596 // PP_3591 // PP_5257 // PP_5258 // PP_4108 // PP_4197 // PP_5260 // PP_4493
L-lyxonate degradation	PP_2036 // PP_3602 // PP_2585	4-hydroxy-tetrahydrodipicolinate synthase // 2,5-dioxovalerate dehydrogenase // alpha-ketoglutaric semialdehyde dehydrogenase	PP_2036 // PP_3602 // PP_2585
L-methionine biosynthesis III	PP_4637 // metE // PP_2528 // metX // metH	5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase family protein // 5-methyltetrahydropteroyltriglutamate- homocysteine methyltransferase // O-acetylhomoserine (thiol)-lyase // homoserine O-acetyltransferase // cobalamin-dependent methionine synthase	PP_4637 // PP_2698 // PP_2528 // PP_5097 // PP_2375
L-methionine degradation I (to L-homocysteine)	metK // ahcY	methionine adenosyltransferase // adenosylhomocysteinase	PP_4967 // PP_4976
L-methionine degradation II	mdeA	methionine gamma-lyase	PP_1308
long-chain fatty acid activation	PP_2213 // acs // PP_3724 // PP_2709 // PP_4063 // PP_2038 // fadD2 // fadD1	acyl-CoA synthetase // acyl-CoA synthetase // acyl-CoA synthetase // long-chain fatty acid--CoA ligase // long-chain fatty acid--CoA ligase // long-chain-fatty-acid--CoA ligase // long-chain-fatty acid--CoA ligase // long-chain-fatty acid--CoA ligase	PP_2213 // PP_3458 // PP_3724 // PP_2709 // PP_4063 // PP_2038 // PP_4550 // PP_4549
L-ornithine biosynthesis I	argA // argJ // argB // PP_3633 // argC // astC // aruC // argE // PP_3571	amino acid N-acetyltransferase // glutamate N-acetyltransferase/amino acid acetyltransferase // acetylglutamate kinase // ArgC-like N-acetyl-gamma-glutamyl-phosphate reductase // N-acetyl-gamma-glutamyl-phosphate reductase // acetylornithine aminotransferase // acetylornithine aminotransferase // acetylornithine deacetylase // acetylornithine deacetylase	PP_5185 // PP_1346 // PP_5289 // PP_3633 // PP_0432 // PP_4481 // PP_0372 // PP_5186 // PP_3571
L-ornithine degradation I (L-proline biosynthesis)	ocd // PP_3533 // PP_3190	ornithine cyclodeaminase // ornithine cyclodeaminase // ornithine cyclodeaminase/mu-crystallin family protein	PP_4431 // PP_3533 // PP_3190
L-phenylalanine biosynthesis I	pheA // tyrB // PP_4692	bifunctional chorismate mutase/prephenate dehydratase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase	PP_1769 // PP_1972 // PP_4692
L-phenylalanine degradation I (aerobic)	phhA	phenylalanine-4-hydroxylase	PP_4490
L-proline biosynthesis I	proI // proC // proA // proB	pyrroline-5-carboxylate reductase // pyrroline-5-carboxylate reductase // gamma-glutamyl phosphate reductase // glutamate 5-kinase	PP_5095 // PP_3778 // PP_4811 // PP_0691
L-proline biosynthesis III (from L-ornithine)	aruC // proI // proC	acetylornithine aminotransferase // pyrroline-5-carboxylate reductase // pyrroline-5-carboxylate reductase	PP_0372 // PP_5095 // PP_3778
L-proline degradation	putA	proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase	PP_4947
L-selenocysteine biosynthesis I (bacteria)	selD // selA // serS	selenide, water dikinase // selenocysteine synthase // serine--tRNA ligase	PP_0823 // PP_0493 // PP_4000
L-serine biosynthesis I	serC // serA // serB // PP_1721	3-phosphoserine/phosphohydroxythreonine aminotransferase // bifunctional D-3-phosphoglycerate dehydrogenase/alpha-ketoglutarate reductase // phosphoserine phosphatase // phosphoserine phosphatase	PP_1768 // PP_5155 // PP_4909 // PP_1721
L-serine degradation	tdcG-III // tdcG-II // tdcG-I // PP_2930	L-serine dehydratase // L-serine dehydratase // L-serine dehydratase // L-serine dehydratase	PP_3144 // PP_0987 // PP_0297 // PP_2930
L-threonine biosynthesis	thrB // thrC // PP_0662	homoserine kinase // threonine synthase // threonine synthase	PP_0121 // PP_1471 // PP_0662
L-threonine degradation I	plsX // ilvA-II // PP_4430 // ilvA-I // PP_3191	phosphate acyltransferase // threonine deaminase // threonine dehydratase // threonine deaminase // threonine ammonia-lyase/dehydratase	PP_1912 // PP_5149 // PP_4430 // PP_3446 // PP_3191
L-threonine degradation IV	ltaE	low specificity l-threonine aldolase	PP_0321
L-tryptophan biosynthesis	trpC // trpF // trpD // trpG // trpE // trpB // trpA	indole-3-glycerol phosphate synthase // N-(5'-phosphoribosyl)anthranilate isomerase // anthranilate phosphoribosyltransferase // anthranilate synthase complex // tryptophan synthase	PP_0422 // PP_1995 // PP_0421 // PP_0420 // PP_0417 // PP_0083 // PP_0082
L-tyrosine biosynthesis I	tyrA // pheA // tyrB // PP_4692	prephenate dehydrogenase // bifunctional chorismate mutase/prephenate dehydratase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase	PP_1770 // PP_1769 // PP_1972 // PP_4692
L-tyrosine biosynthesis III	pheA // tyrA	bifunctional chorismate mutase/prephenate dehydratase // prephenate dehydrogenase	PP_1769 // PP_1770
L-tyrosine degradation I	hpd // hmgA // hmgC // hmgB // tyrB // PP_4692	4-hydroxyphenylpyruvate dioxygenase // homogentisate 1,2-dioxygenase // maleylacetoacetate isomerase // fumarylacetoacetase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase	PP_3433 // PP_4621 // PP_4619 // PP_4620 // PP_1972 // PP_4692
L-valine biosynthesis	ilvD // ilvE // ilvC // ilvI // ilvH // PP_3365 // PP_1394 // PP_1157	dihydroxy-acid dehydratase // branched-chain-amino acid aminotransferase // ketol-acid reductoisomerase // acetolactate synthase // acetolactate synthase // acetolactate synthase large subunit // acetolactate synthase	PP_5128 // PP_3511 // PP_4678 // PP_4680 // PP_4679 // PP_3365 // PP_1394 // PP_1157
L-valine degradation I	ilvE // acd // PP_1412 // mmsB // PP_1143 // bkdAA // bkdAB // bkdB // lpdV // mmsA-II // mmsA-I	branched-chain-amino acid aminotransferase // short-chain acyl-CoA dehydrogenase // 3-hydroxyisobutyryl-CoA hydrolase // 3-hydroxyisobutyrate dehydrogenase // 3-hydroxyisobutyrate dehydrogenase // branched-chain 2-oxo acid dehydrogenase complex // methylmalonate-semialdehyde dehydrogenase // methylmalonate-semialdehyde dehydrogenase	PP_3511 // PP_2216 // PP_1412 // PP_4666 // PP_1143 // PP_4401 // PP_4402 // PP_4403 // PP_4404 // PP_4667 // PP_0597
mannitol degradation I	PP_2052	bifunctional sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase	PP_2052
methanesulfonate degradation	ssuD	alkanesulfonate monooxygenase	PP_0238
methyl parathion degradation	PP_5654	phosphotriesterase	PP_5654
methylamine degradation I	peaA // peaC // peaD	quinohemoprotein amine dehydrogenase	PP_5602 // PP_3460 // PP_3459
methylerythritol phosphate pathway I	dxs // dxr // ispF // ispH // ispE // ispD	1-deoxyxylulose-5-phosphate synthase // 1-deoxy-D-xylulose-5-phosphate reductoisomerase // 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase // 4-hydroxy-3-methylbut-2-enyl diphosphate reductase // 4-diphosphocytidyl-2C-methyl-D-erythritol kinase // 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PP_0527 // PP_1597 // PP_1618 // PP_0606 // PP_0723 // PP_1614
methylglyoxal degradation I	gloA // frmC // gloB // lldE // glcF // glcE // glcD	lactoylglutathione lyase // S-formylglutathione hydrolase/S-lactoylglutathione hydrolase // hydroxyacylglutathione hydrolase // D-lactate dehydrogenase (quinone) // glycolate oxidase	PP_3766 // PP_1617 // PP_4144 // PP_4737 // PP_3747 // PP_3746 // PP_3745
molybdenum cofactor biosynthesis	moaE // moaD // moaB-I // moeA // moeB // iscS-II // csdA // iscS-I // moaA	molybdopterin synthase // molybdenum cofactor biosynthesis protein B // molybdenum::molybdopterin ligase // molybdopterin synthase adenylyltransferase subunit // cysteine desulfurase // cysteine desulfurase // cysteine desulfurase // cyclic pyranopterin monophosphate synthase	PP_1294 // PP_1293 // PP_2122 // PP_2123 // PP_0735 // PP_2435 // PP_1529 // PP_0842 // PP_4597
N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis	tsaE // tsaD // tsaB // tsaC	<em>N</em><small><sup>6</sup></small>-<small>L</small>-threonylcarbamoyladenine synthase complex // threonylcarbamoyl-AMP synthase	PP_4898 // PP_0390 // PP_1507 // PP_0070
NAD de novo biosynthesis I (from aspartate)	nadD // nadE // nadC // nadA // nadB	nicotinate-nucleotide adenylyltransferase // NH(3)-dependent NAD(+) synthetase // quinolinate phosphoribosyltransferase // quinolinate synthase iron-sulfur cluster subunit // L-aspartate oxidase	PP_4810 // PP_4869 // PP_0787 // PP_1231 // PP_1426
NAD phosphorylation and dephosphorylation	ppnK // pntB // pntA // PP_2167	inorganic polyphosphate/ATP-NAD kinase // proton-translocating pyridine nucleotide transhydrogenase // PhoD-like phosphatase	PP_2012 // PP_0155 // PP_5747 // PP_2167
NAD phosphorylation and transhydrogenation	ppnK // pntB // pntA	inorganic polyphosphate/ATP-NAD kinase // proton-translocating pyridine nucleotide transhydrogenase	PP_2012 // PP_0155 // PP_5747
NAD salvage pathway II	nadD // pncC // nudC // nadE	nicotinate-nucleotide adenylyltransferase // NMN amidohydrolase // NADH pyrophosphatase // NH(3)-dependent NAD(+) synthetase	PP_4810 // PP_1628 // PP_4029 // PP_4869
NAD salvage pathway III (to nicotinamide riboside)	nudC // PP_2167 // surE // ushA // yrfG // PP_0094 // PP_2531	NADH pyrophosphatase // PhoD-like phosphatase // 5'-nucleotidase SurE // 5'-nucleotidase/2',3'-cyclic phosphodiesterase // purine nucleotidase // 5'-nucleotidase // 5-nucleotidase	PP_4029 // PP_2167 // PP_1620 // PP_1414 // PP_0259 // PP_0094 // PP_2531
NADH to cytochrome bd oxidase electron transfer I	nuoN // nuoK // nuoI // nuoB // nuoA // nuoF // nuoG // nuoJ // nuoL // nuoM // nuoC // nuoE // nuoH // PP_3338	NADH:ubiquinone reductase (H<small><sup>+</sup></small>-translocating) // cytochrome bd-type quinol oxidase	PP_4131 // PP_4128 // PP_4126 // PP_4120 // PP_4119 // PP_4123 // PP_4124 // PP_4127 // PP_4129 // PP_4130 // PP_4121 // PP_4122 // PP_4125 // PP_3338
NADH to cytochrome bd oxidase electron transfer II	qor-II // qor-I // PP_1644 // chrR // PP_3338	quinone oxidoreductase // quinone oxidoreductase // NAD(P)H dehydrogenase // quinone reductase // cytochrome bd-type quinol oxidase	PP_3606 // PP_0072 // PP_1644 // PP_4138 // PP_3338
NADH to cytochrome bo oxidase electron transfer I	nuoN // nuoK // nuoI // nuoB // nuoA // nuoF // nuoG // nuoJ // nuoL // nuoM // nuoC // nuoE // nuoH // cyoA // cyoB // cyoC // cyoD	NADH:ubiquinone reductase (H<small><sup>+</sup></small>-translocating) // cytochrome <i>bo<sub>3</sub></i> terminal oxidase	PP_4131 // PP_4128 // PP_4126 // PP_4120 // PP_4119 // PP_4123 // PP_4124 // PP_4127 // PP_4129 // PP_4130 // PP_4121 // PP_4122 // PP_4125 // PP_0812 // PP_0813 // PP_0814 // PP_0815
NADH to cytochrome bo oxidase electron transfer II	qor-II // qor-I // PP_1644 // chrR // cyoA // cyoB // cyoC // cyoD	quinone oxidoreductase // quinone oxidoreductase // NAD(P)H dehydrogenase // quinone reductase // cytochrome <i>bo<sub>3</sub></i> terminal oxidase	PP_3606 // PP_0072 // PP_1644 // PP_4138 // PP_0812 // PP_0813 // PP_0814 // PP_0815
N-end rule pathway I (prokaryotic)	aat // PP_t46 // PP_t39 // PP_t47 // PP_t45 // PP_t68 // PP_t48	leucyl/phenylalanyl-tRNA--protein transferase	PP_4005 // PP_t46 // PP_t39 // PP_t47 // PP_t45 // PP_t68 // PP_t48
nicotinate degradation I	nicX // nicF // nicE // nicC // nicB // nicA // nicD	2,5-dihydroxypyridine 5,6-dioxygenase // maleamate amidohydrolase // maleate <i>cis-trans</i> isomerase // 6-hydroxynicotinate 3-monooxygenase // nicotinate dehydrogenase // N-formylmaleamate deformylase	PP_3945 // PP_3941 // PP_3942 // PP_3944 // PP_3948 // PP_3947 // PP_3943
nitrate reduction V (assimilatory)	narB // glnA // PP_4547 // PP_4399 // PP_3148 // gltB // gltD // gdhA // nirD // nirB	assimilatory nitrate reductase/sulfite reductase // glutamine synthetase // glutamine synthetase // glutamine synthetase // glutamine synthetase // L-glutamate synthase // NADP-dependent glutamate dehydrogenase // nitrite reductase	PP_1703 // PP_5046 // PP_4547 // PP_4399 // PP_3148 // PP_5076 // PP_5075 // PP_0675 // PP_1706 // PP_1705
nonaprenyl diphosphate biosynthesis I	ispB	nonaprenyl diphosphate synthase	PP_0687
oleate ?-oxidation	PP_1845 // PP_3726 // PP_3732 // PP_4030 // fadD1 // fadD2 // PP_2038 // PP_4063 // PP_2709 // PP_2213 // acs // PP_3724 // PP_2437 // PP_0368 // fadA // fadA // PP_2048 // fadE // acd // PP_2217 // fadBA // fadB // hbd // yqeF // bktB // PP_2215	"enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // enoyl-CoA hydratase/isomerase family protein // long-chain-fatty acid--CoA ligase // long-chain-fatty acid--CoA ligase // long-chain-fatty-acid--CoA ligase // long-chain fatty acid--CoA ligase // long-chain fatty acid--CoA ligase // acyl-CoA synthetase // acyl-CoA synthetase // acyl-CoA synthetase // medium-chain acyl-CoA dehydrogenase // phenylacyl-CoA dehydrogenase // fatty acid oxidation complex, &beta; component // 3-ketoacyl-CoA thiolase // acyl-CoA dehydrogenase // medium-long chain acyl-CoA dehydrogenase // short-chain acyl-CoA dehydrogenase // enoyl-CoA hydratase // type II 3-hydroxyacyl-CoA dehydrogenase // fatty acid oxidation complex, &alpha; component // 3-hydroxybutyryl-CoA dehydrogenase // acetyl-CoA acetyltransferase // &beta;-ketothiolase BktB // acetyl-CoA acetyltransferase"	PP_1845 // PP_3726 // PP_3732 // PP_4030 // PP_4549 // PP_4550 // PP_2038 // PP_4063 // PP_2709 // PP_2213 // PP_3458 // PP_3724 // PP_2437 // PP_0368 // PP_2137 // PP_2051 // PP_2048 // PP_1893 // PP_2216 // PP_2217 // PP_2214 // PP_2136 // PP_3755 // PP_4636 // PP_3754 // PP_2215
